tf,gene,rsquared,pvalue,repressor,samples
Maz,4930439A04Rik,1.0,9.003163161571059e-11,True,3
Maz,9130227L01Rik,1.0,9.003163161571059e-11,True,3
Maz,Aox3,1.0,1.2004217548761408e-30,True,5
Maz,Gm11578,1.0,0.0,True,2
Maz,Gm16150,1.0,9.003163161571059e-11,True,3
Maz,Gm26524,1.0,0.0,True,2
Maz,Gm28175,1.0,0.0,True,2
Maz,Gm28782,1.0,0.0,True,2
Maz,Gm28783,1.0,0.0,True,2
Maz,Gm33222,1.0,1.2004217548761408e-30,True,5
Maz,Gm33222,1.0,9.003163161571059e-11,True,3
Maz,Gm6644,1.0,0.0,True,2
Maz,Gm6644,1.0,9.003163161571059e-11,True,3
Maz,Il17f,1.0,0.0,True,2
Maz,Il1rl1,1.0,9.003163161571059e-11,True,3
Maz,Rfx8,1.0,9.999999999999998e-21,True,4
Rreb1,Gm28783,1.0,1.5000000000000099e-40,True,6
Rreb1,Gm33222,1.0,1.2004217548761408e-30,True,5
Rreb1,Pi15,1.0,9.003163161571059e-11,True,3
